branch,park_type,family,model,line
per person served,needs-population,provider,stg_fed_cms_nppes__npi_providers,stg_fed_cms_nppes__npi_providers: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,provider,stg_fed_cms_nppes__npi_providers,stg_fed_cms_nppes__npi_providers: spine entity undetermined at onboarding
any trend over time,needs-history,provider,stg_fed_cms_nppes__npi_providers,stg_fed_cms_nppes__npi_providers: no date column — snapshot only
full column inventory,needs-metadata-pull,provider,stg_fed_cms_nppes__npi_providers,stg_fed_cms_nppes__npi_providers: columns not fully recoverable from SQL
join to the entity spine,needs-crosswalk,facility,stg_fed_cms_nursing_home__nursing_home_facilities,stg_fed_cms_nursing_home__nursing_home_facilities: spine entity undetermined at onboarding
per person served,needs-population,program,stg_fed_cms_open_payments_gnrl__records,stg_fed_cms_open_payments_gnrl__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,program,stg_fed_cms_open_payments_gnrl__records,stg_fed_cms_open_payments_gnrl__records: spine entity undetermined at onboarding
per person served,needs-population,payment,stg_fed_cms_open_payments_profile_supplement__recipient_profiles,stg_fed_cms_open_payments_profile_supplement__recipient_profiles: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,payment,stg_fed_cms_open_payments_profile_supplement__recipient_profiles,stg_fed_cms_open_payments_profile_supplement__recipient_profiles: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,payment,stg_fed_cms_open_payments_profile_supplement__recipient_profiles,stg_fed_cms_open_payments_profile_supplement__recipient_profiles: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,payment,stg_fed_cms_open_payments_profile_supplement__recipient_profiles,stg_fed_cms_open_payments_profile_supplement__recipient_profiles: harm lives in a different fact table
per person served,needs-population,provider,stg_fed_cms_part_d_prescribers__providers,stg_fed_cms_part_d_prescribers__providers: no population/served column on the thing itself
per person served,needs-population,product,stg_fed_cms_partd_prescriber_drug__records,stg_fed_cms_partd_prescriber_drug__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,product,stg_fed_cms_partd_prescriber_drug__records,stg_fed_cms_partd_prescriber_drug__records: spine entity undetermined at onboarding
per person served,needs-population,facility,stg_fed_cms_pos_other__facilities,stg_fed_cms_pos_other__facilities: no population/served column on the thing itself
per person served,needs-population,organization,stg_fed_college_scorecard_institution__records,stg_fed_college_scorecard_institution__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,organization,stg_fed_college_scorecard_institution__records,stg_fed_college_scorecard_institution__records: spine entity undetermined at onboarding
any trend over time,needs-history,organization,stg_fed_college_scorecard_institution__records,stg_fed_college_scorecard_institution__records: no date column — snapshot only
full column inventory,needs-metadata-pull,organization,stg_fed_college_scorecard_institution__records,stg_fed_college_scorecard_institution__records: columns not fully recoverable from SQL
per person served,needs-population,person,stg_fed_congress_committee_membership__people,stg_fed_congress_committee_membership__people: no population/served column on the thing itself
any trend over time,needs-history,person,stg_fed_congress_committee_membership__people,stg_fed_congress_committee_membership__people: no date column — snapshot only
join to the entity spine,needs-crosswalk,membership,stg_fed_congress_legislators__members,stg_fed_congress_legislators__members: spine entity undetermined at onboarding
per person served,needs-population,registry,stg_fed_consolidated_screening_list__entries,stg_fed_consolidated_screening_list__entries: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,registry,stg_fed_consolidated_screening_list__entries,stg_fed_consolidated_screening_list__entries: spine entity undetermined at onboarding
per person served,needs-population,dataset,stg_fed_david_rumsey__records,stg_fed_david_rumsey__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,dataset,stg_fed_david_rumsey__records,stg_fed_david_rumsey__records: spine entity undetermined at onboarding
per person served,needs-population,unresolved,stg_fed_densho_ddr__records,stg_fed_densho_ddr__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_densho_ddr__records,stg_fed_densho_ddr__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_densho_ddr__records,stg_fed_densho_ddr__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_densho_ddr__records,stg_fed_densho_ddr__records: harm lives in a different fact table
per person served,needs-population,facility,stg_fed_dhs_hifld__facilities,stg_fed_dhs_hifld__facilities: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,facility,stg_fed_dhs_hifld__facilities,stg_fed_dhs_hifld__facilities: spine entity undetermined at onboarding
per person served,needs-population,enforcement,stg_fed_dhs_ohss__records,stg_fed_dhs_ohss__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,enforcement,stg_fed_dhs_ohss__records,stg_fed_dhs_ohss__records: spine entity undetermined at onboarding
events per noun via hard ID,needs-crosswalk,enforcement,stg_fed_dhs_ohss__records,stg_fed_dhs_ohss__records: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,enforcement,stg_fed_dhs_ohss__records,stg_fed_dhs_ohss__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,enforcement,stg_fed_dhs_ohss__records,stg_fed_dhs_ohss__records: harm lives in a different fact table
per person served,needs-population,place,stg_fed_dhs_yearbook__places,stg_fed_dhs_yearbook__places: no population/served column on the thing itself
per person served,needs-population,unresolved,stg_fed_docsouth__records,stg_fed_docsouth__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_docsouth__records,stg_fed_docsouth__records: spine entity undetermined at onboarding
events per noun via hard ID,needs-crosswalk,unresolved,stg_fed_docsouth__records,stg_fed_docsouth__records: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_docsouth__records,stg_fed_docsouth__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_docsouth__records,stg_fed_docsouth__records: harm lives in a different fact table
per person served,needs-population,case,stg_fed_doj_crt_cases__crt_cases,stg_fed_doj_crt_cases__crt_cases: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,case,stg_fed_doj_crt_cases__crt_cases,stg_fed_doj_crt_cases__crt_cases: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,case,stg_fed_doj_crt_cases__crt_cases,stg_fed_doj_crt_cases__crt_cases: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,case,stg_fed_doj_crt_cases__crt_cases,stg_fed_doj_crt_cases__crt_cases: harm lives in a different fact table
per person served,needs-population,document,stg_fed_doj_epstein_library__records,stg_fed_doj_epstein_library__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,document,stg_fed_doj_epstein_library__records,stg_fed_doj_epstein_library__records: spine entity undetermined at onboarding
any trend over time,needs-history,document,stg_fed_doj_epstein_library__records,stg_fed_doj_epstein_library__records: no date column — snapshot only
per person served,needs-population,enforcement,stg_fed_doj_fca_settlements__fca_settlements,stg_fed_doj_fca_settlements__fca_settlements: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,enforcement,stg_fed_doj_fca_settlements__fca_settlements,stg_fed_doj_fca_settlements__fca_settlements: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,enforcement,stg_fed_doj_fca_settlements__fca_settlements,stg_fed_doj_fca_settlements__fca_settlements: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,enforcement,stg_fed_doj_fca_settlements__fca_settlements,stg_fed_doj_fca_settlements__fca_settlements: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,enforcement,stg_fed_doj_fca_settlements__fca_settlements,stg_fed_doj_fca_settlements__fca_settlements: harm lives in a different fact table
per person served,needs-population,filing,stg_fed_dol_ebsa_form5500_schedule_sb__filings,stg_fed_dol_ebsa_form5500_schedule_sb__filings: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,filing,stg_fed_dol_ebsa_form5500_schedule_sb__filings,stg_fed_dol_ebsa_form5500_schedule_sb__filings: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,filing,stg_fed_dol_ebsa_form5500_schedule_sb__filings,stg_fed_dol_ebsa_form5500_schedule_sb__filings: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,filing,stg_fed_dol_ebsa_form5500_schedule_sb__filings,stg_fed_dol_ebsa_form5500_schedule_sb__filings: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_fed_dol_ebsa_form5500_schedule_sb__filings,stg_fed_dol_ebsa_form5500_schedule_sb__filings: harm lives in a different fact table
per person served,needs-population,filing,stg_fed_dol_form5500__records,stg_fed_dol_form5500__records: no population/served column on the thing itself
